overlap box_map.pcd p2at_met_000.pcd p2at_met_001.pcd p2at_met_002.pcd p2at_met_003.pcd p2at_met_004.pcd p2at_met_005.pcd p2at_met_006.pcd p2at_met_007.pcd p2at_met_008.pcd p2at_met_009.pcd p2at_met_010.pcd p2at_met_011.pcd p2at_met_012.pcd p2at_met_013.pcd p2at_met_014.pcd p2at_met_015.pcd p2at_met_016.pcd p2at_met_017.pcd p2at_met_018.pcd p2at_met_019.pcd p2at_met_020.pcd p2at_met_021.pcd p2at_met_022.pcd p2at_met_023.pcd p2at_met_024.pcd p2at_met_025.pcd p2at_met_026.pcd p2at_met_027.pcd p2at_met_028.pcd p2at_met_029.pcd p2at_met_030.pcd p2at_met_031.pcd p2at_met_032.pcd p2at_met_033.pcd p2at_met_034.pcd p2at_met_035.pcd p2at_met_036.pcd p2at_met_037.pcd p2at_met_038.pcd p2at_met_039.pcd p2at_met_040.pcd p2at_met_041.pcd p2at_met_042.pcd p2at_met_043.pcd p2at_met_044.pcd p2at_met_045.pcd p2at_met_046.pcd p2at_met_047.pcd p2at_met_048.pcd p2at_met_049.pcd p2at_met_050.pcd p2at_met_051.pcd p2at_met_052.pcd p2at_met_053.pcd p2at_met_054.pcd p2at_met_055.pcd p2at_met_056.pcd p2at_met_057.pcd p2at_met_058.pcd p2at_met_059.pcd p2at_met_060.pcd p2at_met_061.pcd p2at_met_062.pcd p2at_met_063.pcd p2at_met_064.pcd p2at_met_065.pcd p2at_met_066.pcd p2at_met_067.pcd p2at_met_068.pcd p2at_met_069.pcd p2at_met_070.pcd p2at_met_071.pcd p2at_met_072.pcd p2at_met_073.pcd p2at_met_074.pcd p2at_met_075.pcd p2at_met_076.pcd p2at_met_077.pcd p2at_met_078.pcd p2at_met_079.pcd p2at_met_080.pcd p2at_met_081.pcd p2at_met_082.pcd p2at_met_083.pcd p2at_met_084.pcd p2at_met_085.pcd p2at_met_086.pcd p2at_met_087.pcd p2at_met_088.pcd p2at_met_089.pcd p2at_met_090.pcd p2at_met_091.pcd p2at_met_092.pcd p2at_met_093.pcd p2at_met_094.pcd p2at_met_095.pcd p2at_met_096.pcd p2at_met_097.pcd p2at_met_098.pcd p2at_met_099.pcd p2at_met_100.pcd p2at_met_101.pcd 
box_map.pcd 1.0 0.02975828309087892 0.027407489352287186 0.027089440787654184 0.02385364234747497 0.02749045854306101 0.05578295259693567 0.030311411029371092 0.040889982853033906 0.02720006637535262 0.029011560373914485 0.02548536976602688 0.021184800044250236 0.023355827202832014 0.02627357707837823 0.03378228884340948 0.024365285690580232 0.024545052270590187 0.0229962940428121 0.02388129874439958 0.04734775153493003 0.02595552851374523 0.02931578074008518 0.028375463244648486 0.03549698545273522 0.019331821450301455 0.02359090657669119 0.01529398749930859 0.022208086730460756 0.015473754079318546 0.009209580175894684 0.012791083577631507 0.014491951988494938 0.016593838154765197 0.04001880634990873 0.038926378671386694 0.031597433486365394 0.019387134244150672 0.020230654350351235 0.025803418330659883 0.020935892471928758 0.025305603186016927 0.005088777034127994 0.01570883345317772 0.019331821450301455 0.029398749930859006 0.010288179655954422 0.02126776923502406 0.03278665855412357 0.04498312959787599 0.019954090381105148 0.026508656452237402 0.029398749930859006 0.029592344709331267 0.029232811549311354 0.027822335306156312 0.0181979091763925 0.024406770285967144 0.02483544443829858 0.020258310747275843 0.008338403672769511 0.017091653299408153 0.020424249128823495 0.018557442336412412 0.027905304496930138 0.023798329553625753 0.02739366115382488 0.017326732673267328 0.027988273687703964 0.02742131755074949 0.02720006637535262 0.029799767686265834 0.03026992643398418 0.020825266884230323 0.01695337131478511 0.019124398473366888 0.024116378118258754 0.025430056972177664 0.013551634493058245 0.02751811493998562 0.010910448586758117 0.01104873057138116 0.010993417777531943 0.014104762431550417 0.019884949388793628 0.0277808507107694 0.02366004756900271 0.014367498202334199 0.041788815753083686 0.04124951601305382 0.02563747994911223 0.02736600475690027 0.0051164334310526026 0.004549477294098125 0.02758725593229714 0.008794734222025554 0.0194839316333868 0.02838929144311079 0.028403119641573094 0.027338348359975662 0.028430776038497703 0.011408263731401073 0.007190663200398252 
p2at_met_000.pcd 0.46338681228149853 1.0 0.6502286673919243 0.3193527603798097 0.37658826138848106 0.44918091657072845 0.06922337582779708 0.02341596341321729 0.0001373060551970342 0.002482070997792541 4.224801698370283e-05 0.012758901129078255 0.012114618870076786 0.006770244721638378 0.001404746564708119 4.224801698370283e-05 0.0 0.0 0.00022180208916443983 2.1124008491851414e-05 6.337202547555425e-05 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.1124008491851414e-05 0.0 0.0 0.0 0.023870129595792097 0.005428870182405813 0.0003696701486073997 0.00021124008491851413 7.393402972147994e-05 9.505803821333137e-05 0.0 2.1124008491851414e-05 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.1363237888021631 0.2463904350489549 0.034548315888422984 0.00041191816559110257 2.1124008491851414e-05 0.0 0.4080630340413397 0.0 0.0 0.3138182701549446 0.18732770730573833 0.31709249147118157 0.0 4.224801698370283e-05 3.168601273777712e-05 
p2at_met_001.pcd 0.5532348811707677 0.6365844410055649 1.0 0.5004560500937721 0.451479344517663 0.26696865039917195 0.10456357543273517 0.13175235967492338 2.0496633427959456e-05 0.00023571128442153376 0.0 0.003289709665187493 0.0042223064861596485 0.002603072445350851 0.00016397306742367565 0.0 0.0 0.0 0.00016397306742367565 6.148990028387838e-05 2.0496633427959456e-05 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.09625219057769761 0.006384701312809371 0.00048167088555704725 0.0003586910849892905 2.0496633427959456e-05 6.148990028387838e-05 0.0 8.198653371183782e-05 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.22902938192401898 0.11743546122549371 0.015249495270401836 0.0 7.17382169978581e-05 0.0 0.3625342037570329 0.0 0.0 0.3586193467722926 0.113243899689476 0.3956465150599014 0.0 1.0248316713979728e-05 1.0248316713979728e-05 
p2at_met_002.pcd 0.46858697153542933 0.3110171382428254 0.3453573743319485 1.0 0.5951740918218813 0.025861427797316105 0.010880074800514254 0.3221522147964767 0.0014981352996801852 0.00010625073047377201 0.0009350064281691936 0.0003506274105634476 0.0006162542367478776 0.0001275008765685264 0.0 0.0001381259496159036 0.0008075055516006673 0.002061264171191177 0.022121402084639332 0.006141292221384022 0.01024257041767162 0.0025075172391810195 0.000637504382842632 7.43755113316404e-05 0.0005525037984636144 0.00047812828713197404 4.2500292189508804e-05 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.00021250146094754403 0.0 8.500058437901761e-05 0.0 0.26951560291977006 0.2923063846063942 0.034340236089123115 0.017701371696930417 0.005195660720167451 0.01878512914776289 0.001423759788348545 0.0019125131485278962 0.0010837574508324745 0.0 2.1250146094754402e-05 1.0625073047377201e-05 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.06979610484822082 0.056047260324914736 0.001221883400448378 0.00010625073047377201 0.0002337516070422984 0.0002550017531370528 0.39353145552875674 0.0 0.0 0.14335348555521318 0.23262534929927645 0.33099227557189453 0.0001168758035211492 0.000318752191421316 0.00034000233751607043 
p2at_met_003.pcd 0.53547923522306 0.40478818677885614 0.40553796809263964 0.675729995418003 1.0 0.1417503228225101 0.006206523097429916 0.30157870621068855 0.00024992710459449327 0.0 2.082725871620777e-05 8.330903486483109e-05 0.00012496355229724664 0.0 0.0 3.124088807431166e-05 4.165451743241554e-05 0.0001353771816553505 0.002478443787228725 0.0009372266422293498 0.0012496355229724664 2.082725871620777e-05 3.124088807431166e-05 0.0 4.165451743241554e-05 0.00010413629358103887 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.082725871620777e-05 0.0 3.124088807431166e-05 0.0 0.41707626942141873 0.3646540592327238 0.0621589536385221 0.011215478818677885 0.023586870496105302 0.01556837589036531 0.0003019952513850127 0.000364477027533636 8.330903486483109e-05 0.0 2.082725871620777e-05 1.0413629358103886e-05 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.2025763319031949 0.12921231307535302 0.0012183946348981547 0.0 4.165451743241554e-05 4.165451743241554e-05 0.9290727704419545 0.0 0.0 0.12531761569542216 0.2585808305910776 0.34601366268171785 0.0 3.124088807431166e-05 5.2068146790519434e-05 
p2at_met_004.pcd 0.4551958484067452 0.5359392517423516 0.28694767744247063 0.1949353336184279 0.1780839333803354 1.0 0.23486783555437407 0.25093329943019616 0.03782896637810474 0.007998058274869685 0.005744270177182418 0.040094312363472454 0.036129956889078954 0.016862958125772935 0.006056333144554501 0.002854798257070538 0.0008090521376313265 0.0017683568151084707 0.0022653459853677143 0.0003236208550525306 0.0025774089527397974 0.0006125680470637187 0.00035829451809387314 0.0 2.311577536089504e-05 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 6.934732608268513e-05 0.0 0.0 0.0 0.0069000589452271706 0.006611111753215982 0.0005432207209810335 8.090521376313265e-05 5.778943840223761e-05 0.0003814102934547682 5.778943840223761e-05 0.0001618104275262653 8.090521376313265e-05 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.5376382612313774 0.9162862195305186 0.08584043180268375 0.010390541024722321 0.012193571502872135 0.009015152390749067 0.15791541937795447 0.0 0.0 0.10461044139573052 0.005767385952543313 0.051756221033044 0.001860819916552051 0.015036811872262225 0.01343026548468002 
p2at_met_005.pcd 0.37468410881522224 0.02586591348297904 0.009885535900104058 0.007482285317873247 0.002192656459045637 0.1274218324166295 1.0 0.07763490411773451 0.34079084287200834 0.49841435013131163 0.22119815668202766 0.27845498240919675 0.2237624498290471 0.23785986819285468 0.2931222436945642 0.16039839452950796 0.11504633070710074 0.004868440612457262 0.013601902779842426 0.0018829592190674398 0.0008423764927406967 0.0037163668797383677 0.005871859669986621 0.0001734304543877905 0.0006441702591546504 1.2387889599127893e-05 1.2387889599127893e-05 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0003964124671720926 0.0049923195084485405 0.00028492146077994154 9.910311679302315e-05 1.2387889599127893e-05 0.0001734304543877905 7.432733759476735e-05 0.00012387889599127893 9.910311679302315e-05 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.5787869778504534 0.35348842971111444 0.1771220454883306 0.4698354888261236 0.03422773896239037 0.04805262375501709 0.0013626678559040682 0.0 0.0 0.002514741588622962 0.00024775779198255786 0.0018581834398691838 0.348991625786631 0.1874659333036024 0.07611119369704177 
p2at_met_006.pcd 0.45968021662023206 0.013225470779765701 0.008458930549494814 0.09323845009119085 0.026663533729426113 0.38680585859263983 0.3701117787251183 1.0 0.6022512391885693 0.0090071945665917 0.00994707573875779 2.2378123146811675e-05 2.2378123146811675e-05 3.3567184720217515e-05 0.0007720452485650028 0.003983305920132478 0.020688574849227395 0.17734662593848255 0.20370805500542669 0.0753135734505947 0.053595604936613965 0.17404585277432782 0.0540431673995502 0.0016895482975842816 0.03297416445682701 0.00023497029304152262 8.95124925872467e-05 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.2378123146811675e-05 0.0009958264800331196 0.0 5.594530786702919e-05 0.0 0.04085126380450472 0.13747999955243753 0.10326384926096248 0.016179383035144844 0.0024727826077226905 0.03897150146017254 0.01678359236010876 0.002920345070658924 0.0046210824298166114 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.6535642755642084 0.5558949570899488 7.832343101384087e-05 0.04583039620467031 0.035144842402067736 0.10570306468396495 0.02197531693016907 0.0 0.0 0.002360891991988632 0.01995009678538261 0.005247669877927338 0.005907824510758283 0.27209559934208316 0.23307934163561703 
p2at_met_007.pcd 0.4469853998889984 0.0003284741807967198 9.06135671163365e-05 0.008041954081574864 0.0023559527450247486 0.37335054991108546 0.5682036992988775 0.33984618346982004 1.0 0.15259324702391067 0.3488622333978955 0.0011326695889542061 0.0015517573368672623 0.0023446260491352066 0.04158030061050891 0.10327681312084452 0.20948724047708042 0.14020184172075165 0.08530134674414126 0.03212250954274129 0.07951340514458527 0.075537734887356 0.09285625290246582 0.0121988514730368 0.03965476230928676 0.0012119564601810007 0.0003058207890176357 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.00010194026300587855 0.0008834822793842808 0.000181227134232673 0.00022653391779084125 0.0003851076602444301 0.004043630432566516 0.02307247952699718 0.016378402256277822 0.0005889881862561872 0.00048704792325030867 0.009084010103412733 0.006093762388573629 0.0003058207890176357 0.0010420560218378696 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.3665885124650288 0.4045782504785529 5.663347944771031e-05 0.5493787307304586 0.3429723515353336 0.22037219522693036 0.0002038805260117571 0.0 0.0 0.0 0.00021520722190129918 0.0 0.2963290178621994 0.4400421353087091 0.23659202374075458 
p2at_met_008.pcd 0.31190471533903114 0.0025327100975924585 0.00018579726584655101 0.00010756683812168743 0.0 0.00557391797539653 0.9198235903854804 0.19740470556022766 0.45267059122645753 1.0 0.10455496665428018 0.035164577262326184 0.021650270872856 0.02011499872875555 0.24217206782578085 0.26459486417241984 0.057538479591637166 0.0023762492421427316 0.00046938256634918154 0.0002053548727777669 0.00015646085544972717 0.0003422581212962782 0.0038724061723807474 0.00014668205198411921 4.889401732803974e-05 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 5.867282079364769e-05 1.9557606931215896e-05 0.0 0.0 9.778803465607948e-06 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.261074494924801 0.012477753222115742 0.0029238622362167763 0.8915921847802702 0.0005378341906084372 0.006502904304629286 0.0 0.0 0.0 0.0 0.0 0.0 0.6410299035809979 0.305147562144296 0.1384091842522149 
