overlap PointCloud0.pcd PointCloud1.pcd PointCloud10.pcd PointCloud11.pcd PointCloud12.pcd PointCloud13.pcd PointCloud14.pcd PointCloud15.pcd PointCloud16.pcd PointCloud17.pcd PointCloud18.pcd PointCloud19.pcd PointCloud2.pcd PointCloud20.pcd PointCloud21.pcd PointCloud22.pcd PointCloud23.pcd PointCloud24.pcd PointCloud25.pcd PointCloud26.pcd PointCloud27.pcd PointCloud28.pcd PointCloud29.pcd PointCloud3.pcd PointCloud30.pcd PointCloud31.pcd PointCloud32.pcd PointCloud33.pcd PointCloud34.pcd PointCloud35.pcd PointCloud36.pcd PointCloud4.pcd PointCloud5.pcd PointCloud6.pcd PointCloud7.pcd PointCloud8.pcd PointCloud9.pcd 
PointCloud0.pcd 1.0 0.6087848977497298 0.18967343239908724 0.21444169059603227 0.2258786535500988 0.2326043520510105 0.19924881808950856 0.14606011638952276 0.14785072443197328 0.12169583683630131 0.05816746552533601 0.04224306412342094 0.43902106148118225 0.032547576674054744 0.03457292906353383 0.029741562851434124 0.02178209173590715 0.021973162716046688 0.018484752535784865 0.016099094869471225 0.015542259441636005 0.01278537815676555 0.008385286442695084 0.38194543012807214 0.006048761314131609 0.004662131915404689 0.0027568812848704537 0.002505759425258492 0.002347443470285733 0.0018615772636451976 0.0009935690967255893 0.3441352127438885 0.37550906768280035 0.22877747327735865 0.14622389151535664 0.09863629911888983 0.14848398825186432 
PointCloud1.pcd 0.6982328929829202 1.0 0.22379551973278147 0.22806416979165045 0.26346855047432327 0.24739498239117017 0.24041887749544869 0.1519494193494847 0.1376237675115793 0.10312187177452399 0.064174978345548 0.048210330859279775 0.617859865872065 0.03712117675738196 0.03861494494323162 0.0333297026467705 0.024595308115621807 0.023863984107966245 0.02118246274656252 0.01639514317871795 0.015923153925550177 0.013895156145455678 0.007608881696671697 0.47409505137421487 0.006317394619322514 0.004787319567844565 0.002961602896250538 0.0022043454131461973 0.0021161715966203495 0.0015404484416574602 0.0009180450308867693 0.41762231523695414 0.41518975523985874 0.2435723881100202 0.1661350304199667 0.11898797205408686 0.16959974273992354 
PointCloud10.pcd 0.2468030825905617 0.2903319712912582 1.0 0.6034922617661381 0.48853555776681556 0.40728410221667055 0.3161349056803506 0.25688078250375795 0.21831135011538544 0.19312768615163128 0.16648317913323313 0.1295227912688163 0.2851872631422946 0.10611225202718438 0.1200273114136303 0.07737704570956747 0.06277390807274574 0.05652298181356255 0.048345436453327124 0.03731501280884127 0.03053479558783054 0.024373848792158027 0.017545995384582812 0.32868439438528146 0.015333559164143713 0.012194863760506425 0.008066394258251647 0.007648254398407893 0.007383608917494125 0.006123896428344589 0.005250566341329156 0.34556877606757985 0.3933266995532784 0.4547350369445091 0.5262792962547371 0.6091292105096013 0.7112823661423158 
PointCloud11.pcd 0.22549564572910877 0.24128748775774903 0.689404166335795 1.0 0.6669419518780275 0.566409910267609 0.43167897509198233 0.32998226527965274 0.27511051113052226 0.23890521189020356 0.2043251541861881 0.15901956113184573 0.2753487387172768 0.13295746314089837 0.1433865374943752 0.09035178273644089 0.07398290055321739 0.06691548214616586 0.05586701606712724 0.04211334339183144 0.03512004023399243 0.0278038063474417 0.020588157441965113 0.323370126260621 0.01732179253024167 0.014616585933984488 0.009259112205193362 0.008846184388152148 0.00798327112946346 0.006993303157839011 0.005452764763492946 0.3621800471161227 0.4007993859022208 0.4163847640223405 0.47076947510521716 0.5483046136742635 0.632737764366447 
PointCloud12.pcd 0.23094978800790875 0.25838188181308747 0.6619862760232187 0.7005730659025788 1.0 0.6748643990737901 0.5426733207160152 0.4187187430613561 0.32465980820266654 0.2740671819325643 0.2386364837860413 0.18312204612017466 0.28311781685152093 0.15589084257604754 0.15948572093170788 0.10345319785576079 0.08317914124699986 0.07458843929413506 0.06419501157762295 0.04746825405216803 0.03962824728533818 0.0311062709480963 0.02344600809904947 0.32376637519956863 0.020575392000338342 0.015933769652882776 0.011080683872741305 0.009584580086488544 0.008865604415356474 0.00757039089015532 0.005899829771936688 0.392312246904704 0.4297307013184745 0.4074900347857347 0.43550365303079963 0.5168959282716036 0.6088455153892514 
PointCloud13.pcd 0.2182689545855895 0.24429527345453772 0.6277911937107052 0.679998085126754 0.7095669195008564 1.0 0.6655939830427335 0.5199040435740045 0.3848629269901384 0.31982106573334323 0.2714758353634536 0.20725843342092107 0.2699705322283805 0.17834384740587866 0.17854597291518176 0.1159668514164743 0.09229689045861214 0.08264805693556451 0.07217476409825427 0.056057914277507684 0.04671758811076478 0.03670173721556154 0.02782949117562579 0.32257103647833535 0.023765704620163617 0.018701928702886138 0.013116881735300689 0.011824342294230912 0.01089350113296667 0.009170115211540302 0.007366942904862714 0.39833086882054447 0.44127190136275146 0.3886128870969458 0.41356474931117754 0.5021755087711833 0.5736907054180275 
PointCloud14.pcd 0.21284907046690735 0.24276750836500494 0.5665738102663587 0.6250680565173036 0.6684709352419111 0.706281286175673 1.0 0.6235721346223987 0.4757665938968501 0.37536010487311094 0.3110037477336519 0.23070498623011826 0.2641914357150031 0.19996194120974092 0.19707053033867036 0.13131868422304566 0.1040009303259841 0.09216570374403349 0.08181582717080468 0.06500124219662651 0.05297572166338057 0.042409121423398755 0.03307414592374498 0.30512577901586313 0.027344183612519227 0.021513788382554272 0.014599774818824301 0.013029849720637908 0.01229510363091431 0.010090865361743516 0.00828835876752951 0.3547872143608502 0.3819728196806233 0.34335371945385634 0.38523424656810146 0.4480841099264725 0.5458264836320772 
PointCloud15.pcd 0.21513775098696777 0.22550091267988284 0.49667296345035444 0.5558857239886233 0.6056214713248715 0.6615496455406037 0.6935252791102432 1.0 0.6161172899775014 0.5144012395466315 0.41570446151886914 0.28781253979708793 0.24769707517935222 0.24604682260050093 0.23349216793309843 0.1595704037016598 0.12827397376575964 0.11734304028526553 0.10238464150783207 0.0794880502610689 0.06730483508086768 0.053795050303519124 0.04268370335781296 0.2949123402810205 0.03363119242687948 0.026945281657256865 0.01922464660185932 0.016184149085197604 0.015303306872691769 0.01247506049157363 0.010055397546376873 0.3416394277709386 0.35534554484866493 0.30652778367364264 0.37272360657129516 0.4378475612344526 0.5017033153627372 
PointCloud16.pcd 0.15864157745534194 0.16508156089688167 0.4741116857665362 0.5152510755139149 0.5594611164384639 0.6168917254858808 0.6483580400232657 0.6868512201384414 1.0 0.6792060323099576 0.5865782151447031 0.41950544699982706 0.15212299372769716 0.34803682685404974 0.3050581904118131 0.20243241685399735 0.16398639691048475 0.14941914388568375 0.12658314076263238 0.09967040280026619 0.0838665052740792 0.0674128453827572 0.05621492462232563 0.2419998008792752 0.04416288075288594 0.03621377181812942 0.026435896226662266 0.022537322035852212 0.02025267371973234 0.01668422073056346 0.013451128962109421 0.2909572990845687 0.32522178380729305 0.3022652602455473 0.3392178747530641 0.42982304455588216 0.489491141747756 
PointCloud17.pcd 0.10653941768845068 0.11202755656680571 0.40751801289343953 0.4336156406691105 0.4718535372687819 0.529700206463574 0.5683067880166857 0.6526671722917456 0.7076170311380778 1.0 0.67839084818607 0.5305955842076434 0.11384464669447604 0.40945097543504827 0.36097417098554757 0.234388825685754 0.18708654615935616 0.16975835334765937 0.1416961614629419 0.11081089622045254 0.09372498209244512 0.07603337125521425 0.06499915729153499 0.16395946572283318 0.05224792483040492 0.04169826823410441 0.03209139173302996 0.025223317743226732 0.02342202839927527 0.018908271183584038 0.015848186070029073 0.23242952850461382 0.2600598323010155 0.2686923271394261 0.2850514052163654 0.3592834871276282 0.41564488265284627 
