id source target overlap scale t1 t2 t3 t4 t5 t6 t7 t8 t9 t10 t11 t12
7680147070030 box_met_076.pcd box_met_070.pcd 0.11 2.01 0.6878934463759785 -0.6792593481209204 0.2557525061916714 -30.178390800086504 0.7114287281964726 0.700816734927135 -0.052202190977192336 71.02791406437638 -0.1437768101250276 0.21785922527267912 0.965331853216219 -5.882098042338161
7680147070061 box_met_080.pcd box_met_074.pcd 0.11 4.99 -0.9994937978637631 0.030146572221550327 -0.010165245455068809 -163.95797388723753 -0.029922802283912305 -0.9993211695611844 -0.02149013658272856 42.431798919090916 -0.010806198931578085 -0.021175085599762902 0.999717380970489 -4.506674454018051
7680147070092 box_met_083.pcd box_met_060.pcd 0.11 8.77 -0.47430951595848203 0.6390612278824884 -0.6055008093211413 -126.84012366114878 -0.7930858325075675 -0.6087398561420625 -0.021228514312595176 -35.087800691417726 -0.38215879598278196 0.4701452270963383 0.7955615124498692 -47.26925226007425
7680147070123 box_met_014.pcd box_met_020.pcd 0.12 65.83 0.3691680072016489 -0.6066486925323263 -0.7040542211417969 -9.35885443236861 0.32090545907632717 0.794180161883914 -0.5160402666508221 10.546660829002004 0.8722010483791997 -0.03542928617484273 0.48786278489690726 19.060938497561846
7680147070154 box_met_072.pcd box_met_064.pcd 0.17 17.43 -0.9219387049520683 0.16056372122127466 0.3524887455492439 -187.14642093233806 -0.08021958283076468 -0.969453755690305 0.2317848875755709 69.50993346199925 0.37893778228326735 0.1854149589583827 0.9066572947661646 12.597935449795791
7680147070185 box_met_013.pcd box_met_010.pcd 0.13 5.73 0.6312078599624483 -0.7733758712758579 -0.058876134808034 10.209925703872885 0.7427067579579029 0.6245599811376702 -0.24147774565159036 30.58540480791246 0.22352473958219338 0.10869494785692939 0.9686186551502568 -3.4972879036625724
7680147070216 box_met_083.pcd box_met_078.pcd 0.19 8.77 0.44769622866702663 0.8919601774768858 0.06304862118019561 -45.366956781411446 -0.8826493397551728 0.4521099592155061 -0.12855632154005858 -74.65959425459978 -0.14317202892701839 0.0019043564676162195 0.9896959854214653 -12.373377899125234
7680147070247 box_met_055.pcd box_met_059.pcd 0.15 17.81 0.7593497618098244 -0.17690748444687807 0.6261722456209957 -16.756823006806776 -0.57259244149536 0.275429758545985 0.7721893187876164 -30.634558845171394 -0.30907254032305365 -0.9449032702102252 0.10785163310899087 -3.6870773046067846
7680147070278 box_met_078.pcd box_met_086.pcd 0.11 1.51 0.3548809294326935 -0.8581435326492648 0.3710110554919193 -57.519298945909334 0.8596984557942424 0.4554822716942926 0.23120221728435422 109.16053535855445 -0.36739364587589524 0.23690837373222387 0.8993866417873742 -39.49650936538042
7680147070309 box_met_042.pcd box_met_069.pcd 0.14 16.03 0.9043994438887889 -0.36015356641623614 0.22880352814437743 -7.856294405432209 -0.29313956859536544 -0.9141007171075853 -0.2801590125395236 -22.407731058589555 0.3100497366832815 0.18630428760783702 -0.9322874412977812 14.386342508167505
7680147070340 box_met_099.pcd box_met_107.pcd 0.20 15.65 0.18199985572217953 -0.6319870815061917 0.7533049723228915 -7.342925426239201 0.9146902669108048 -0.17233467113448597 -0.36557143863219005 91.5519388072836 0.36085699125241627 0.7555746752864703 0.5467075469846733 -24.939482941465375
7680147070371 box_met_066.pcd box_met_074.pcd 0.21 23.23 -0.48901699556056005 -0.27668037703792403 0.8272305283384285 -119.50923042164735 -0.8408000969699287 -0.10293951216371308 -0.5314683939528815 -23.499533024459417 0.23220158265671165 -0.9554325856896702 -0.18229371688039422 51.46205653167461
7680147070402 box_met_069.pcd box_met_059.pcd 0.24 7.39 0.2482868234551028 0.6534915401181218 0.7150541659850809 -76.56195752977115 -0.55566583520648 -0.5085640244754072 0.6577219112920463 -1.1294935135095798 0.7934665291509526 -0.5606348544314941 0.23685317627956318 87.37777412460117
